Center,ped,lat,long,group,order,zip_code,subregion,region,county_pop,zip_pop
Pediatric Epilepsy Program at Childrens of Alabama UAB,Yes,33.5056,-86.8059,,,35233,Jefferson,Alabama,659300,1715
UAB Epilepsy Center,No,33.5056,-86.8036,,,35294,Jefferson,Alabama,,
USA Comprehensive Epilepsy Program,Both,30.69547,-88.076313,,,36614,,Alabama,,
Banner-University of Arizona Medical Center,Both,32.241299,-110.946307,,,85724,Pima,Arizona,,
Barrow Neurological Institute at Pheonix Childrens,Yes,33.479915,-112.041137,,,85016,Maricopa,Arizona,,
Barrow Neurological Institute Comprehensive Epilepsy Center,No,33.481041,-112.077703,,,85013,Maricopa,Arizona,,
Mayo Clinic Arizona Epilepsy Center,No,33.65927,-111.95645,,,85054,Maricopa,Arizona,,
Arkansas Children's Comprehensive Epilepsy Program,Yes,34.743166,-92.293022,,,72202,Pulaski,Arkansas,,
UAMS Comprehensive Epilepsy Center,No,34.749723,-92.320575,,,72205,Pulaski,Arkansas,,
Cedars-Sinai Epilepsy Program,No,34.07491,-118.378983,,,90048,Los Angeles ,California,,
Children's Hospital of Los Angeles,Yes,34.097811,-118.290334,,,90027,Los Angeles ,California,,
CHOC Children's Hospital,Yes,33.780835,-117.86094,,,92868,Orange,California,,
Hoag Hospital Epilepsy Center,No,33.623049,-117.933432,,,92658,Orange,California,,
Kaiser Permanente Northern California Comprehensive Epilepsy Program,Both,37.489678,-122.223942,,,94063,San Mateo,California,,
Loma Linda University Medical Center Comprehensive Epilepsy Center,Both,34.049616,-117.264145,,,92354,San Bernardino,California,,
Mercy Epilepsy Center,No,38.571009,-121.453146,,,95819,Sacramento,California,,
Rady Children's Comprehensive Epilepsy Center,Yes,32.798024,-117.151471,,,92123,San Diego,California,,
Rancho Los Amigos National Rehab Center/ USC Comprehensive Epilepsy Program,Both,33.929559,-118.158567,,,90242,Los Angeles ,California,,
Southern California Permanente Medical Group Comprehensive Epilepsy Program,Both,34.098635,-118.296392,,,90027,Los Angeles ,California,,
Stanford Children's Health Pediatric Epilepsy Center,Yes,37.438317,-122.17355,,,94304,Santa Clara,California,,
Stanford Comprehensive Epilepsy Center,No,37.441791,-122.169392,,,94305,Santa Clara,California,,
Sutter Comprehensive Epilepsy Center,Both,38.572423,-121.469358,,,95816,Sacramento,California,,
University of California Davis Comprehensive Epilepsy Program,No,38.552582,-121.4489,,,95817,Sacramento,California,,
University of California Irvine Comprehensive Epilepsy Center,No,33.787498,-117.888327,,,92868,Orange,California,,
University of California Los Angeles Seizure Disorder Center,Both,34.066436,-118.44481,,,90024,Los Angeles ,California,,
University of California San Diego Comprehensive Epilepsy Center,No,32.878124,-117.2255,,,92037,San Diego,California,,
University of San Francisco Epilepsy Center,Both,37.764787,-122.457262,,,94143,San Francisco,California,,
USC Comprehensive Epilepsy Center,No,34.060639,-118.204529,,,90089,Los Angeles ,California,,
Valley Children's Hospital,Yes,36.884273,-119.800322,,,93636,Madera ,California,,
Children's Hospital of Colorado Pediatric Epilepsy Center,Yes,39.74246,-104.83492,,,80045,Adams,Colorado,,
Denver Health and Hospitals Comprehensive Epilepsy Center,Both,39.728192,-104.991309,,,80204,Denver,Colorado,,
Swedish Epilepsy Center,No,39.654106,-104.98053,,,80113,Arapahoe,Colorado,,
University of Colorado Hospital Comprehensive Epilepsy Center,No,39.743285,-104.839157,,,80045,Adams,Colorado,,
Connecticut Children's Epilepsy Center,Yes,41.753867,-72.681652,,,06106,Hartford,Connecticut,,
Yale Comprehensive Epilepsy Center,Both,41.302715,-72.936347,,,06519,New Haven,Connecticut,,
Nemours Neuroscience,Yes,39.779589,-75.555287,,,19803,New Castle,Delaware,,
Children's National Epilepsy Center,Yes,38.92734,-77.014503,,,20010,District of Columbia,District of Columbia,,
Medstar Georgetwon University Hospital Comprehensive Epilepsy Center,Both,38.912119,-77.075443,,,20007,District of Columbia,District of Columbia,,
The Epilepsy Center at George Washington University Hospital,No,38.901449,-77.05073,,,20037,District of Columbia,District of Columbia,,
AdventHealth Epilepsy at Orlando,Both,28.572441,-81.369812,,,32803,Orange,Florida,,
Baptist Health Epilepsy Center,No,25.687042,-80.336846,,,33176,Miami-Dade,Florida,,
"Bayfront Health, St Petersburg Comprehensive Epilepsy Program",No,27.787657,-82.646339,,,33704,Pinellas,Florida,,
Cleveland Clinic Florida Epilepsy Center,No,26.082825,-80.36514,,,33331,Broward,Florida,,
International Comprehensive Epilepsy Center at Jackson Memorial Hospital,Both,25.787431,-80.212894,,,33136,Miami-Dade,Florida,,
International Comprehensive Epilepsy Center at University of Miami Hospital,No,25.787658,-80.213809,,,33136,Miami-Dade,Florida,,
Johns Hopkins All Children's Hospital Comprehensive Epilepsy Center,Yes,27.765006,-82.640818,,,33701,Pinellas,Florida,,
Mayo Clinic Comprehensive Epilepsy Center,No,30.263281,-81.444392,,,32224,Duval,Florida,,
Memorial Comprehensive Epilepsy Program,No,26.019816,-80.179802,,,33021,Broward,Florida,,
Nicklaus Children's Hospital Comprehensive Epilepsy Center,Yes,25.74139,-80.294134,,,33155,Miami-Dade,Florida,,
Pediatric Epilepsy Center at Arnold Palmer Hospital for Children,Yes,28.524259,-81.379541,,,32806,Orange,Florida,,
Pediatric Epilepsy Center at Wolfson Children's Hospital,Yes,30.314112,-81.662988,,,32207,Duval,Florida,,
UF Jacksonville Neuroscience Institute's Comprehensive Epilepsy Program,Both,30.346352,-81.663177,,,32209,Duval,Florida,,
UF Health Shands Hospital Comprehensive Epilepsy Program,Both,29.639704,-82.341273,,,32608,Alachua,Florida,,
University of South Florida at Tampa General Hospital,No,27.937412,-82.459185,,,33606,Hillsborough,Florida,,
AU Health Comprehensive Epilepsy Center,Both,33.471434,-81.987829,,,30912,Richmond,Georgia,,
Children's Healthcare of Atlanta Epilepsy Center,Yes,33.906476,-84.353229,,,30342,Fulton,Georgia,,
Emory Healthcare Epilepsy Center,No,33.791731,-84.320365,,,30307,DeKalb,Georgia,,
Queen's Comprehensive Epilepsy Center,No,21.308735,-157.85389,,,96813,Honolulu,Hawaii,,
Idaho Comprehensive Epilepsy Center at St. Luke's,Both,43.613215,-116.192237,,,83702,Adams,Idaho,,
Ann and Robert H. Lurie Children's Hospital of Chicago,Yes,41.896893,-87.62192,,,60611,Cook,Illinois,,
